name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,xG,xGA,team_id,player_key,toi_s,toi_g,toi_total,toi_gp_s,toi_gp_g,toi_gp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
JB,76561198288926809,S,Captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCL,name:JB,,,,,,,,,,,,,
Marcus,76561199865143074,S,Captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LL,name:Marcus,,,,,,,,,,,,,
Nick,76561199075874498,S,Captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NK,name:nickisntcool,,,,,,,,,,,,,
Foster,76561199191678078,G,Captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PKN,name:Foster,,,,,,,,,,,,,
Silly,76561198353224230,S,Captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA,name:silly,,,,,,,,,,,,,
Grab,76561198180293369,S,Captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOR,name:player 43,,,,,,,,,,,,,
kolt,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA,,,,,,,,,,,,,,
PrayForLeslie,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PKN,,,,,,,,,,,,,,
stinkyshawn,76561198068115505,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LL,name:stinkyshawn,,,,,,,,,,,,,
moose,76561198127159353,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCL,name:moose,,,,,,,,,,,,,
pretty,76561198099463628,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NK,name:pretty,,,,,,,,,,,,,
Bingus,76561198170165423,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOR,name:Bingus,,,,,,,,,,,,,
Chief Keef,76561198365208664,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA,name:ChiafNeef,,,,,,,,,,,,,
DickiePecker,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PKN,,,,,,,,,,,,,,
milk,76561198084497364,S/G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LL,name:milk,,,,,,,,,,,,,
v,76561198999789726,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCL,name:v,,,,,,,,,,,,,
ScottStevens,76561198046087380,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NK,name:Anvil,,,,,,,,,,,,,
DankyD,76561199659216812,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOR,name:DankyD,,,,,,,,,,,,,
ronin,76561198162726240,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA,name:ronin,,,,,,,,,,,,,
